Documento 1:
Index     Term           TF        IDF       TF-IDF    
0         aromas         1.0000    0.6931    0.6931    
1         include        1.0000    2.3026    2.3026    
2         tropical       1.0000    2.9957    2.9957    
3         fruit          1.0000    1.6094    1.6094    
4         broom          1.0000    2.9957    2.9957    
5         brimstone      1.0000    2.9957    2.9957    
6         dried          1.3010    2.3026    2.9957    
7         herb           1.0000    2.3026    2.3026    
8         palate         1.0000    0.9163    0.9163    
9         isn            1.0000    2.9957    2.9957    
10        t              1.0000    2.9957    2.9957    
11        overly         1.0000    2.9957    2.9957    
12        expressive     1.0000    2.9957    2.9957    
13        offer          1.0000    1.6094    1.6094    
14        unripened      1.0000    2.9957    2.9957    
15        apple          1.0000    1.6094    1.6094    
16        citrus         1.0000    2.3026    2.3026    
17        dried          1.3010    2.3026    2.9957    
18        sage           1.0000    2.9957    2.9957    
19        brisk          1.0000    2.3026    2.3026    
20        acidity        1.0000    0.9163    0.9163    

Documento 2:
Index     Term           TF        IDF       TF-IDF    
0         ripe           1.0000    1.8971    1.8971    
1         fruity         1.0000    2.3026    2.3026    
2         a              1.0000    0.2877    0.2877    
3         wine           1.0000    0.9163    0.9163    
4         smooth         1.0000    2.9957    2.9957    
5         structured     1.0000    2.9957    2.9957    
6         firm           1.0000    1.8971    1.8971    
7         tannins        1.0000    1.8971    1.8971    
8         fill           1.0000    2.9957    2.9957    
9         juicy          1.0000    1.8971    1.8971    
10        red            1.0000    1.3863    1.3863    
11        berry          1.0000    1.6094    1.6094    
12        fruits         1.0000    1.8971    1.8971    
13        freshened      1.0000    2.9957    2.9957    
14        acidity        1.0000    0.9163    0.9163    
15        s              1.0000    0.7985    0.7985    
16        drinkable      1.0000    2.9957    2.9957    
17        2016           1.0000    2.9957    2.9957    

Documento 3:
Index     Term           TF        IDF       TF-IDF    
0         tart           1.0000    1.8971    1.8971    
1         snappy         1.0000    2.9957    2.9957    
2         flavors        1.3010    1.2040    1.5664    
3         lime           1.0000    2.9957    2.9957    
4         flesh          1.0000    2.9957    2.9957    
5         rind           1.0000    2.3026    2.3026    
6         dominate       1.0000    1.8971    1.8971    
7         green          1.0000    1.6094    1.6094    
8         pineapple      1.0000    1.8971    1.8971    
9         pokes          1.0000    2.9957    2.9957    
10        crisp          1.0000    1.8971    1.8971    
